Scale;Translation;Sentence_Score
BIS-11;Azure;1.0
BIS-11;Azure;0.982
BIS-11;Azure;0.918
BIS-11;Azure;0.814
BIS-11;Azure;0.974
BIS-11;Azure;0.839
BIS-11;Azure;1.0
BIS-11;Azure;0.888
BIS-11;Azure;1.0
BIS-11;Azure;0.996
BIS-11;Azure;0.878
BIS-11;Azure;0.983
BIS-11;Azure;0.844
BIS-11;Azure;0.982
BIS-11;Azure;0.987
BIS-11;Azure;0.965
BIS-11;Azure;0.976
BIS-11;Azure;0.945
BIS-11;Azure;0.924
BIS-11;Azure;0.738
BIS-11;Azure;0.984
BIS-11;Azure;1.0
BIS-11;Azure;1.0
BIS-11;Azure;0.959
BIS-11;Azure;0.87
BIS-11;Azure;0.873
BIS-11;Azure;0.996
BIS-11;Azure;0.942
BIS-11;Azure;0.973
BIS-11;Azure;0.888
DII;Azure;1.0
DII;Azure;0.99
DII;Azure;0.993
DII;Azure;1.0
DII;Azure;0.978
DII;Azure;0.999
DII;Azure;0.87
DII;Azure;0.987
DII;Azure;1.0
DII;Azure;0.642
DII;Azure;0.956
DII;Azure;1.0
DII;Azure;0.987
DII;Azure;0.977
DII;Azure;1.0
DII;Azure;0.991
DII;Azure;0.999
DII;Azure;0.982
DII;Azure;0.982
DII;Azure;1.0
DII;Azure;1.0
DII;Azure;1.0
DII;Azure;1.0
PSDQ;Azure;0.995
PSDQ;Azure;1.0
PSDQ;Azure;0.988
PSDQ;Azure;0.805
PSDQ;Azure;0.924
PSDQ;Azure;0.891
PSDQ;Azure;0.918
PSDQ;Azure;0.991
PSDQ;Azure;0.963
PSDQ;Azure;0.928
PSDQ;Azure;0.985
PSDQ;Azure;0.991
PSDQ;Azure;0.781
PSDQ;Azure;0.893
PSDQ;Azure;0.65
PSDQ;Azure;0.938
PSDQ;Azure;0.865
PSDQ;Azure;0.965
PSDQ;Azure;0.881
PSDQ;Azure;0.83
PSDQ;Azure;0.99
PSDQ;Azure;0.984
PSDQ;Azure;0.964
PSDQ;Azure;0.737
PSDQ;Azure;0.954
PSDQ;Azure;0.999
PSDQ;Azure;0.99
PSDQ;Azure;0.942
PSDQ;Azure;0.989
PSDQ;Azure;0.993
PSDQ;Azure;1.0
PSDQ;Azure;0.953
W-ADL;Azure;0.85
W-ADL;Azure;0.755
W-ADL;Azure;0.757
W-ADL;Azure;0.948
W-ADL;Azure;0.757
W-ADL;Azure;0.958
W-ADL;Azure;0.727
W-ADL;Azure;0.806
W-ADL;Azure;0.817
W-ADL;Azure;0.96
W-ADL;Azure;0.868
W-ADL;Azure;0.975
W-ADL;Azure;0.699
W-ADL;Azure;0.875
W-ADL;Azure;0.912
W-ADL;Azure;0.977
W-ADL;Azure;0.949
SCOFF;Azure;0.719
SCOFF;Azure;0.919
SCOFF;Azure;0.423
SCOFF;Azure;0.896
SCOFF;Azure;0.986
SPAI;Azure;1.0
SPAI;Azure;0.986
SPAI;Azure;0.986
SPAI;Azure;0.999
SPAI;Azure;0.84
SPAI;Azure;0.999
SPAI;Azure;0.996
SPAI;Azure;0.96
SPAI;Azure;0.864
SPAI;Azure;0.992
SPAI;Azure;1.0
SPAI;Azure;0.841
SPAI;Azure;0.995
SPAI;Azure;1.0
SPAI;Azure;0.969
SPAI;Azure;1.0
SPAI;Azure;1.0
SPAI;Azure;0.99
SPAI;Azure;0.999
SPAI;Azure;0.98
SPAI;Azure;0.642
SPAI;Azure;1.0
SPAI;Azure;0.997
SPAI;Azure;0.991
SPAI;Azure;0.999
SPAI;Azure;0.942
BIS-11;DeepL;1.0
