Scale;Translation;Sentence_Score
BIS-11;Azure;1.0
BIS-11;Azure;1.0
BIS-11;Azure;0.958
BIS-11;Azure;0.397
BIS-11;Azure;1.0
BIS-11;Azure;0.87
BIS-11;Azure;1.0
BIS-11;Azure;0.99
BIS-11;Azure;0.999
BIS-11;Azure;0.865
BIS-11;Azure;0.907
BIS-11;Azure;1.0
BIS-11;Azure;0.978
BIS-11;Azure;1.0
BIS-11;Azure;1.0
BIS-11;Azure;0.998
BIS-11;Azure;0.979
BIS-11;Azure;0.992
BIS-11;Azure;0.885
BIS-11;Azure;0.945
BIS-11;Azure;0.973
BIS-11;Azure;1.0
BIS-11;Azure;1.0
BIS-11;Azure;0.839
BIS-11;Azure;0.82
BIS-11;Azure;0.969
BIS-11;Azure;1.0
BIS-11;Azure;0.946
BIS-11;Azure;0.986
BIS-11;Azure;0.991
DII;Azure;1.0
DII;Azure;0.988
DII;Azure;0.98
DII;Azure;1.0
DII;Azure;0.984
DII;Azure;0.996
DII;Azure;1.0
DII;Azure;1.0
DII;Azure;1.0
DII;Azure;0.996
DII;Azure;0.999
DII;Azure;1.0
DII;Azure;1.0
DII;Azure;0.999
DII;Azure;0.999
DII;Azure;1.0
DII;Azure;0.999
DII;Azure;0.983
DII;Azure;1.0
DII;Azure;1.0
DII;Azure;0.996
DII;Azure;1.0
DII;Azure;1.0
PSDQ;Azure;0.995
PSDQ;Azure;1.0
PSDQ;Azure;0.993
PSDQ;Azure;0.949
PSDQ;Azure;0.986
PSDQ;Azure;0.936
PSDQ;Azure;0.992
PSDQ;Azure;1.0
PSDQ;Azure;0.975
PSDQ;Azure;0.873
PSDQ;Azure;1.0
PSDQ;Azure;0.989
PSDQ;Azure;0.882
PSDQ;Azure;0.999
PSDQ;Azure;0.912
PSDQ;Azure;0.962
PSDQ;Azure;0.963
PSDQ;Azure;0.995
PSDQ;Azure;0.982
PSDQ;Azure;0.981
PSDQ;Azure;0.989
PSDQ;Azure;0.998
PSDQ;Azure;0.978
PSDQ;Azure;0.941
PSDQ;Azure;0.993
PSDQ;Azure;1.0
PSDQ;Azure;0.972
PSDQ;Azure;0.98
PSDQ;Azure;0.995
PSDQ;Azure;0.995
PSDQ;Azure;0.998
PSDQ;Azure;0.992
W-ADL;Azure;0.948
W-ADL;Azure;0.905
W-ADL;Azure;0.961
W-ADL;Azure;0.876
W-ADL;Azure;0.574
W-ADL;Azure;0.974
W-ADL;Azure;0.933
W-ADL;Azure;0.966
W-ADL;Azure;0.974
W-ADL;Azure;0.978
W-ADL;Azure;0.927
W-ADL;Azure;0.988
W-ADL;Azure;0.911
W-ADL;Azure;0.959
W-ADL;Azure;0.987
W-ADL;Azure;0.847
W-ADL;Azure;0.829
SCOFF;Azure;0.913
SCOFF;Azure;0.973
SCOFF;Azure;0.967
SCOFF;Azure;0.991
SCOFF;Azure;1.0
SPAI;Azure;1.0
SPAI;Azure;0.963
SPAI;Azure;0.989
