Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN;Azure;DeepL;OpenAI;WidnAI
BIS-11;I plan tasks carefully.;Eu planejo tarefas cuidadosamente.;Planejo as tarefas cuidadosamente.;I plan tasks carefully.;I plan tasks carefully.;I plan tasks carefully.;I plan tasks carefully.;I plan tasks carefully.
BIS-11;I do things without thinking.;Eu faço coisas sem pensar.;Faço coisas sem pensar.;I do things without thinking.;I do things without thinking.;I do things without thinking.;I do things without thinking.;I do things without thinking.
BIS-11;I make-up my mind quickly.;Eu tomo decisões rapidamente.;Tomo decisões rapidamente.;I make decisions quickly.;I make decisions quickly.;I make decisions quickly.;I make decisions quickly.;I make decisions quickly.
BIS-11;I am happy-go-lucky.;Eu sou despreocupado (confio na sorte, “desencanado”).;Sou despreocupado.;I am carefree (I trust luck, “laid-back”).;"I'm carefree (I trust luck, ""disenchanted"").";"I'm carefree (I trust in luck, I'm ""carefree"").";"I am carefree (I trust in luck, ""laid-back"").";"I am carefree (I trust in luck, ""unlucky"")."
BIS-11;I do not “pay attention”.;Eu não presto atenção.;"Não ""presto atenção"".";I don't pay attention.;I don't pay attention.;I don't pay attention.;I don't pay attention.;I don't pay attention.
BIS-11;I have “racing” thoughts.;Eu tenho pensamentos que se atropelam.;"Estou com pensamentos ""acelerados"".";I have racing thoughts.;I have thoughts that run over each other.;I have thoughts that run over each other.;I have thoughts that run over each other.;I have thoughts that collide.
BIS-11;I plan trips well ahead of time.;Eu planejo viagens com bastante antecedência.;Eu planejo viagens com bastante antecedência.;I plan trips well in advance.;I plan trips well in advance.;I plan trips well in advance.;I plan trips well in advance.;I plan trips well in advance.
BIS-11;I am self controlled.;Eu tenho autocontrole.;Tenho autocontrole.;I have self-control.;I have self-control.;I have self-control.;I have self-control.;I have self-control.
BIS-11;I concentrate easily.;Eu me concentro facilmente.;Me concentro facilmente.;I focus easily.;I concentrate easily.;I concentrate easily.;I concentrate easily.;I can concentrate easily.
BIS-11;I save regularly.;Eu economizo (poupo) regularmente.;Economizo regularmente.;I save regularly.;I save (save) regularly.;I save regularly.;I save money regularly.;I save (spare) regularly.
BIS-11;I “squirm” at plays or lectures.;Eu fico me contorcendo na cadeira em peças de teatro ou palestras.;"""Me contorço"" em peças de teatro ou palestras.";I squirm in my seat during plays or lectures.;I keep squirming in my chair in plays or lectures.;I squirm in my seat at plays or lectures.;I squirm in my seat during plays or lectures.;I fidget in my seat during plays or lectures.
BIS-11;I am a careful thinker.;Eu penso nas coisas com cuidado.;Sou uma pessoa que pensa com cuidado.;I think things through carefully.;I think about things carefully.;I think about things carefully.;I think about things carefully.;I think things through carefully.
BIS-11;I plan for job security.;Eu faço planos para me manter no emprego (eu cuido para não perder meu emprego).;Planejo para a segurança no emprego.;I make plans to keep my job (I make sure not to lose my job).;I make plans to keep my job (I make sure I don't lose my job).;I make plans to keep my job (I take care not to lose my job).;I make plans to keep my job (I take care not to lose my job).;I make plans to stay in the job (I take care not to lose my job).
BIS-11;I say things without thinking.;Eu falo coisas sem pensar.;Digo coisas sem pensar.;I say things without thinking.;I say things without thinking.;I say things without thinking.;I say things without thinking.;I say things without thinking.
BIS-11;I like to think about complex problems.;Eu gosto de pensar em problemas complexos.;Gosto de pensar sobre problemas complexos.;I enjoy thinking about complex problems.;I like to think about complex problems.;I like to think about complex problems.;I like to think about complex problems.;I like to think about complex problems.
BIS-11;I change jobs.;Eu troco de emprego.;Mudo de emprego.;I change jobs.;I change jobs.;I'll change jobs.;I change jobs.;I change jobs.
BIS-11;I act “on impulse.”;Eu ajo por impulso.;"Ajo ""por impulso"".";I act on impulse.;I act on impulse.;I act on impulse.;I act on impulse.;I act on impulse.
BIS-11;I get easily bored when solving thought problems.;Eu fico entediado com facilidade quando estou resolvendo problemas mentalmente.;Fico entediado facilmente ao resolver problemas de raciocínio.;I get bored easily when solving mental problems.;I get bored easily when I'm solving problems mentally.;I get bored easily when I'm solving problems mentally.;I get bored easily when I'm solving problems mentally.;I get bored easily when I'm solving problems mentally.
BIS-11;I act on the spur of the moment.;Eu ajo no “calor” do momento.;"Ajo no ""calor do momento"".";I act in the heat of the moment.;"I act in the ""heat"" of the moment.";"I act in the ""heat"" of the moment.";"I act in the ""heat"" of the moment.";"I act in the ""heat"" of the moment."
BIS-11;I am a steady thinker.;Eu mantenho a linha de raciocínio (“não perco o fio da meada”).;Sou um pensador constante.;I stay on track (I don’t lose my train of thought).;"I maintain the line of reasoning (""I don't lose the thread"").";"I stand by my line of reasoning (""I don't lose the thread"").";"I keep the line of reasoning (""I don't lose the thread"").";I keep the line of reasoning (“I don’t lose the thread”).
