Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN;Azure;DeepL;OpenAI;WidnAI
BIS-11;I plan tasks carefully.;Eu planejo tarefas cuidadosamente.;Planejo as tarefas cuidadosamente.;I plan tasks carefully.;Eu planejo as tarefas com cuidado.;Planejo as tarefas cuidadosamente.;Eu planejo as tarefas com cuidado.;Eu planejo as tarefas cuidadosamente.
BIS-11;I do things without thinking.;Eu faço coisas sem pensar.;Faço coisas sem pensar.;I do things without thinking.;Eu faço as coisas sem pensar.;Eu faço as coisas sem pensar.;Eu faço coisas sem pensar.;Eu faço as coisas sem pensar.
BIS-11;I make-up my mind quickly.;Eu tomo decisões rapidamente.;Tomo decisões rapidamente.;I make decisions quickly.;Eu me decido rapidamente.;Faço uma rápida maquiagem na minha mente.;Eu tomo decisões rapidamente.;Eu tomo minhas decisões rapidamente.
BIS-11;I am happy-go-lucky.;Eu sou despreocupado (confio na sorte, “desencanado”).;Sou despreocupado.;I am carefree (I trust luck, “laid-back”).;Eu sou despreocupado.;Eu sou feliz e sortudo.;Eu sou despreocupado(a).;Eu sou feliz e despreocupado.
BIS-11;I do not “pay attention”.;Eu não presto atenção.;"Não ""presto atenção"".";I don't pay attention.;"Eu não ""presto atenção"".";"Eu não ""presto atenção"".";"Eu não ""presto atenção"".";Eu não “presto atenção”.
BIS-11;I have “racing” thoughts.;Eu tenho pensamentos que se atropelam.;"Estou com pensamentos ""acelerados"".";I have racing thoughts.;"Eu tenho pensamentos ""acelerados"".";"Tenho pensamentos ""acelerados"".";"Eu tenho pensamentos ""acelerados"".";Eu tenho pensamentos “acelerados”.
BIS-11;I plan trips well ahead of time.;Eu planejo viagens com bastante antecedência.;Eu planejo viagens com bastante antecedência.;I plan trips well in advance.;Eu planejo viagens com bastante antecedência.;Eu planejo viagens com bastante antecedência.;Eu planejo viagens com bastante antecedência.;Eu planejo minhas viagens com bastante antecedência.
BIS-11;I am self controlled.;Eu tenho autocontrole.;Tenho autocontrole.;I have self-control.;Eu sou autocontrolado.;Sou autocontrolado.;Eu sou autocontrolado.;Eu sou autocontrolado.
BIS-11;I concentrate easily.;Eu me concentro facilmente.;Me concentro facilmente.;I focus easily.;Eu me concentro facilmente.;Eu me concentro facilmente.;Eu me concentro facilmente.;Eu me concentro facilmente.
BIS-11;I save regularly.;Eu economizo (poupo) regularmente.;Economizo regularmente.;I save regularly.;Eu economizo regularmente.;Eu economizo regularmente.;Eu economizo regularmente.;Eu economizo regularmente.
